frameID,eventType,player1Position,player2Position,ballPosition,speed
93,,"[9.0, 37.7, 0.0]","[-5.97, -48.42, 0.0]",,
94,,"[9.0, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
95,,"[9.0, 37.7, 0.0]","[-5.87, -48.42, 0.0]",,
96,,"[9.1, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
97,,"[9.0, 37.7, 0.0]","[-5.69, -46.82, 0.0]",,
98,,"[9.1, 46.2, 0.0]","[-5.9, -51.76, 0.0]",,
99,,"[9.0, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
100,,"[8.9, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
101,,"[8.9, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
102,p1cp,"[8.8, 46.2, 0.0]","[-5.87, -48.42, 0.0]","(5.82, 47.23, 3.93)",
103,,"[8.7, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
104,,"[8.7, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
105,,"[8.8, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
106,,"[8.9, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
107,,"[9.0, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
108,,"[9.0, 46.2, 0.0]","[-5.66, -48.42, 0.0]",,
109,,"[9.0, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
110,,"[8.8, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
111,,"[8.7, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
112,,"[8.6, 46.2, 0.0]","[-5.66, -48.42, 0.0]",,
113,,"[8.4, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
114,,"[8.3, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
115,,"[8.1, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
116,,"[7.9, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
117,,"[7.5, 46.2, 0.0]","[-6.28, -48.42, 0.0]",,
118,,"[7.2, 46.2, 0.0]","[-6.39, -48.42, 0.0]",,
119,p1nc,"[7.0, 46.2, 0.0]","[-6.39, -48.42, 0.0]","[-3.2, 0, 3.2]",
120,,"[6.9, 46.2, 0.0]","[-6.6, -48.42, 0.0]",,
121,,"[6.8, 46.2, 0.0]","[-6.6, -48.42, 0.0]",,
122,,"[6.9, 46.2, 0.0]","[-6.6, -48.42, 0.0]",,
123,,"[7.0, 46.2, 0.0]","[-6.52, -46.81, 0.0]",,
124,,"[7.1, 46.2, 0.0]","[-6.81, -48.42, 0.0]",,
125,,"[7.0, 46.2, 0.0]","[-6.81, -48.42, 0.0]",,
126,,"[6.7, 46.2, 0.0]","[-6.91, -48.42, 0.0]",,
127,,"[6.2, 46.2, 0.0]","[-7.12, -48.42, 0.0]",,
128,,"[5.7, 46.2, 0.0]","[-7.43, -48.41, 0.0]",,
129,p1bb,"[5.5, 46.3, 0.0]","[-7.43, -48.41, 0.0]","[-5.8, -29.4, 0]",
130,,"[5.5, 46.3, 0.0]","[-7.22, -48.41, 0.0]",,51.96514801408049
131,,"[5.8, 46.2, 0.0]","[-7.12, -48.42, 0.0]",,
132,,"[5.8, 46.2, 0.0]","[-7.01, -48.42, 0.0]",,
133,,"[5.2, 46.3, 0.0]","[-7.0, -50.06, 0.0]",,
134,,"[4.9, 46.3, 0.0]","[-6.91, -48.42, 0.0]",,
135,,"[4.9, 46.3, 0.0]","[-6.91, -48.42, 0.0]",,
